date,calendar,heuristic,ml_model
2024-02-27,OCCUPIED,OCCUPIED,OCCUPIED
2024-02-28,OCCUPIED,UNKNOWN,UNKNOWN
2024-02-29,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-03,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-08,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-09,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-12,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-13,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-18,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-22,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-03-24,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-25,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-26,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-27,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-28,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-29,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-30,OCCUPIED,OCCUPIED,OCCUPIED
2024-03-31,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-03,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-04,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-05,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-06,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-07,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-08,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-09,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-10,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-12,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-18,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-19,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-21,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-24,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-28,OCCUPIED,OCCUPIED,OCCUPIED
2024-04-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-04-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-05-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-10,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
